0,1,2,3,4,5,6,7,8
,,,,,,,,
Class,,Initial Note Principal Amount(1)(2),Initial Note Principal Amount(1)(2),,,Interest Rate,,Final Scheduled Payment Date (Payment Date In)
Class A-2 Notes,,$,474820000,,,%,,August 2027
Class A-3 Notes,,,321560000,,,%,,January 2029
Class B Notes,,,178830000,,,%,,March 2031
Class C Notes,,,150340000,,,%,,March 2031
Class D Notes,,,174870000,,,%,,March 2031
