0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,GSMC,GSMC,GSMC,,Single Asset/Portfolio:,Portfolio
,,,,,Location:,"Various, Various"
Original Balance(1):,"$40,000,000","$40,000,000","$40,000,000",,General Property Type:,Other
Cut-off Date Balance(1):,"$40,000,000","$40,000,000","$40,000,000",,Detailed Property Type:,Leased Fee
% of Initial Pool Balance:,5.2%,5.2%,5.2%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,NAP/NAP
Borrower Sponsor:,Haven Propco I LP,Haven Propco I LP,Haven Propco I LP,,Size:,"2,206,442 SF"
Guarantor:,Haven Propco I LP,Haven Propco I LP,Haven Propco I LP,,Cut-off Date Balance per SF(1):,$73
Mortgage Rate:,5.4360%,5.4360%,5.4360%,,Maturity Balance per SF(1):,$73
Note Date:,1/27/2026,1/27/2026,1/27/2026,,Property Managers:,NAP
Maturity Date:,2/6/2031,2/6/2031,2/6/2031,,,
Original Term to Maturity:,60 months,60 months,60 months,,,
Original Amortization Term:,0 months,0 months,0 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,60 months,60 months,60 months,,UW NOI:,"$9,681,710"
Seasoning:,1 month,1 month,1 month,,UW NCF:,"$9,681,710"
Prepayment Provisions(2):,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NOI Debt Yield(1):,6.1%
Lockbox/Cash Mgmt Status:,Hard/In Place(7),Hard/In Place(7),Hard/In Place(7),,UW NCF Debt Yield(1):,6.1%
Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NOI Debt Yield at Maturity(1):,6.1%
Additional Debt Balance(1):,"$120,000,000","$120,000,000","$120,000,000",,UW NCF DSCR(1):,1.10x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI(4):,NAV
,,,,,2nd Most Recent NOI(4):,NAV
Reserves(3),Reserves(3),Reserves(3),Reserves(3),,3rd Most Recent NOI(4):,NAV
Type,Initial,Monthly,Cap,,Most Recent Occupancy(4):,NAP
RE Taxes:,$0,Springing,NAP,,2nd Most Recent Occupancy(4):,NAP
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy(4):,NAP
TI/LC Reserve:,$0,$0,NAP,,Appraised Value (as of)(5):,"$209,580,000  (11/22/2025)"
Ground Lease Reserve:,"$175,986","$39,967(6)","$702,000",,Appraised Value PSF(5):,$95
,,,,,Cut-off Date LTV Ratio(1):,76.3%
,,,,,Maturity Date LTV Ratio(1):,76.3%
