0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2025,71.71%,68.33%,66.57%,64.77%,61.02%,57.05%
December 2025,58.07%,52.89%,50.19%,47.42%,41.63%,35.50%
January 2026,44.37%,37.32%,33.64%,29.85%,21.94%,13.52%
February 2026,26.54%,17.68%,13.05%,8.27%,0.00%,0.00%
March 2026,11.20%,0.44%,0.00%,0.00%,0.00%,0.00%
April 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.29,0.26,0.25,0.24,0.21,0.20
Weighted Average Life to Call (years)(2)(3),0.29,0.26,0.25,0.24,0.21,0.20
