0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Palm Desert, CA 92211"
Original Balance:,"$16,500,000","$16,500,000","$16,500,000",,General Property Type:,Self Storage
Cut-off Date Balance:,"$16,500,000","$16,500,000","$16,500,000",,Detailed Property Type:,Self Storage
% of Initial Pool Balance:,2.8%,2.8%,2.8%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1979/2005
Borrower Sponsors(1):,Various,Various,Various,,Size(2):,"155,168 SF"
Guarantors(1):,Various,Various,Various,,Cut-off Date Balance per SF:,$106
Mortgage Rate:,5.9110%,5.9110%,5.9110%,,Maturity Balance per SF:,$94
Note Date:,1/8/2026,1/8/2026,1/8/2026,,Property Manager:,Baco Realty Corporation
Maturity Date:,1/11/2036,1/11/2036,1/11/2036,,,(borrower-related)
Original Term to Maturity:,120 months,120 months,120 months,,,
Original Amortization Term:,360 months,360 months,360 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,24 months,24 months,24 months,,UW NOI:,"$1,584,127"
Seasoning:,3 months,3 months,3 months,,UW NCF:,"$1,567,043"
Prepayment Provisions:,"L(27),DorYM1(86),O(7)","L(27),DorYM1(86),O(7)","L(27),DorYM1(86),O(7)",,UW NOI Debt Yield:,9.6%
Lockbox/Cash Mgmt Status:,None/None,None/None,None/None,,UW NCF Debt Yield:,9.5%
Additional Debt Type:,NAP,NAP,NAP,,UW NOI Debt Yield at Maturity:,10.8%
Additional Debt Balance:,NAP,NAP,NAP,,UW NCF DSCR:,1.33x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$1,669,192 (11/30/2025 TTM)"
,,,,,2nd Most Recent NOI:,"$1,734,364 (12/31/2024)"
Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI:,"$1,780,768 (12/31/2023)"
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,83.6% (11/11/2025)
RE Taxes:,$0,Springing,NAP,,2nd Most Recent Occupancy:,89.3% (12/31/2024)
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy:,93.0% (12/31/2023)
Replacement Reserve(3):,$0,Springing,NAP,,Appraised Value (as of):,"$27,480,000 (11/11/2025)"
,,,,,Appraised Value per SF:,$177
,,,,,Cut-off Date LTV Ratio:,60.0%
,,,,,Maturity Date LTV Ratio:,53.2%
