0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Payment Date,,,0.50%,,,,1.00%,,,,1.30%,,,,1.50%,,,,1.70%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2025,,,78.76,%,,,73.75,%,,,69.88,%,,,65.89,%,,,53.68,%
October 2025,,,67.55,%,,,59.75,%,,,53.81,%,,,47.78,%,,,30.41,%
November 2025,,,57.09,%,,,46.62,%,,,38.73,%,,,30.87,%,,,9.97,%
December 2025,,,46.68,%,,,33.68,%,,,24.00,%,,,14.53,%,,,0.00,%
January 2026,,,36.30,%,,,20.92,%,,,9.62,%,,,0.00,%,,,0.00,%
February 2026,,,26.48,%,,,8.80,%,,,0.00,%,,,0.00,%,,,0.00,%
March 2026,,,16.69,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
April 2026,,,6.93,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
May 2026,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life to Optional Purchase (years)(1),,,0.37,,,,0.29,,,,0.25,,,,0.22,,,,0.17,
Weighted Average Life to Maturity (years)(1),,,0.37,,,,0.29,,,,0.25,,,,0.22,,,,0.17,
