0,1,2,3,4
Closing Date,"$97,304,356.89",,March 2028,"$10,782,700.81"
October 2024,93928559.23,,April 2028,9914979.13
November 2024,90618702.51,,May 2028,9090268.01
December 2024,87375272.10,,June 2028,8308073.81
January 2025,84198299.79,,July 2028,7567867.76
February 2025,81087902.88,,August 2028,6869027.28
March 2025,78044115.23,,September 2028,6210927.98
April 2025,75067045.70,,October 2028,5592884.93
May 2025,72156870.07,,November 2028,5014133.38
June 2025,69313767.02,,December 2028,4474002.53
July 2025,66537906.15,,January 2029,3971817.85
August 2025,63829279.32,,February 2029,3506845.56
September 2025,61187853.58,,March 2029,3077995.05
October 2025,58613593.35,,April 2029,2684193.18
November 2025,56106426.71,,May 2029,2324349.47
December 2025,53666273.13,,June 2029,1997123.62
January 2026,51293065.21,,July 2029,1701205.66
February 2026,48986704.39,,August 2029,1435035.16
March 2026,46747023.34,,September 2029,1196985.54
April 2026,44573769.42,,October 2029,985439.52
May 2026,42466289.38,,November 2029,798197.06
June 2026,40423809.72,,December 2029,634953.12
July 2026,38445453.19,,January 2030,495466.30
August 2026,36530120.82,,February 2030,379474.04
September 2026,34676439.24,,March 2030,285979.63
October 2026,32883301.81,,April 2030,213491.65
November 2026,31150043.13,,May 2030,159333.67
December 2026,29475906.75,,June 2030,120014.50
January 2027,27860387.47,,July 2030,92181.46
February 2027,26302518.24,,August 2030,72590.31
March 2027,24801141.33,,September 2030,58355.37
April 2027,23354839.29,,October 2030,47374.99
May 2027,21962782.87,,November 2030,37626.82
June 2027,20623988.20,,December 2030,29109.29
July 2027,19337620.21,,January 2031,21796.70
August 2027,18102837.10,,February 2031,15652.19
September 2027,16918561.68,,March 2031,10648.30
October 2027,15783052.44,,April 2031,6742.76
November 2027,14693096.86,,May 2031,3869.91
December 2027,13648493.89,,June 2031,1920.64
January 2028,12648885.99,,July 2031,779.75
February 2028,11693802.24,,August 2031,213.23
