0,1,2,3,4
Payment Date,,Yield Supplement  Overcollateralization  Amount,Yield Supplement  Overcollateralization  Amount,
September 2030,,,4515823.12,
October 2030,,,3919627.96,
November 2030,,,3381608.42,
December 2030,,,2897048.95,
January 2031,,,2461758.51,
February 2031,,,2069757.28,
March 2031,,,1715627.38,
April 2031,,,1398237.53,
May 2031,,,1117432.85,
June 2031,,,873123.44,
July 2031,,,665355.68,
August 2031,,,494155.77,
September 2031,,,359184.00,
October 2031,,,258490.56,
November 2031,,,186498.78,
December 2031,,,136322.82,
January 2032,,,101988.88,
February 2032,,,77746.03,
March 2032,,,58282.16,
April 2032,,,41937.95,
May 2032,,,28542.39,
June 2032,,,18102.93,
July 2032,,,10557.31,
August 2032,,,5557.66,
September 2032,,,2553.34,
October 2032,,,1037.28,
November 2032,,,420.77,
December 2032,,,178.77,
January 2033,,,78.25,
February 2033,,,26.07,
March 2033,,,2.71,
April 2033 (and thereafter),,,0.00,
