0,1,2,3,4,5,6,7,8
,,Underwriting  Discount and  Commissions,,Net  Proceeds(1),,Selling  Concessions  Not to  Exceed(2),,Reallowance  Not to  Exceed
Class A-1a Notes,,%,,%,,%,,%
Class A-1b Notes,,%,,%,,%,,%
Class B Notes,,%,,%,,%,,%
Class C Notes,,%,,%,,%,,%
