0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,WOART 2025-A(3),WOART 2025-A(3),WOART 2025-A(3),WOART 2025-A(3),WOART 2025-A(3),WOART 2025-A(3),,,WOART 2025-A(4),WOART 2025-A(4),WOART 2025-A(4),WOART 2025-A(4),WOART 2025-A(4),WOART 2025-A(4),
,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,
Florida,,,479688559.93,,,,46.4,%,,,606535578.27,,,,46.5,%
Georgia,,,193142718.14,,,,18.7,%,,,244074697.30,,,,18.7,%
North Carolina,,,160216261.48,,,,15.5,%,,,203128940.24,,,,15.6,%
Alabama,,,101827851.26,,,,9.8,%,,,127159217.82,,,,9.7,%
South Carolina,,,73133203.65,,,,7.1,%,,,92235171.66,,,,7.1,%
All Others,,,25856426.43,,,,2.5,%,,,32539495.00,,,,2.5,%
Total,,,1033865020.89,,,,100.0,%,,,1305673100.29,,,,100.0,%
