0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Sellers:,Mortgage Loan Sellers:,"BMO, NREC","BMO, NREC","BMO, NREC",,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Birch Run, MI 48415"
Original Balance(1):,Original Balance(1):,"$15,000,000","$15,000,000","$15,000,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$15,000,000","$15,000,000","$15,000,000",,Detailed Property Type:,Outlet Center
% of Initial Pool Balance:,% of Initial Pool Balance:,2.6%,2.6%,2.6%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1986/2010
Borrower Sponsor:,Borrower Sponsor:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Size:,"593,930 SF"
Guarantors:,Guarantors:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Cut-off Date Balance PSF(1):,$152
Mortgage Rate:,Mortgage Rate:,6.4600%,6.4600%,6.4600%,,Maturity Date Balance PSF(1):,$136
Note Date:,Note Date:,1/6/2026,1/6/2026,1/6/2026,,Property Manager:,"Simon Management Associates, LLC (borrower-related)"
Maturity Date:,Maturity Date:,2/1/2036,2/1/2036,2/1/2036,,,
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information(1),Underwriting and Financial Information(1)
Amortization Term:,Amortization Term:,360 months,360 months,360 months,,UW NOI:,"$13,763,013"
IO Period:,IO Period:,24 months,24 months,24 months,,UW NCF,"$13,050,297"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield:,15.3%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(87),O(7)","L(26),D(87),O(7)","L(26),D(87),O(7)",,UW NCF Debt Yield:,14.5%
Lockbox/Cash Mgmt Status(2):,Lockbox/Cash Mgmt Status(2):,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,17.1%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR:,1.92x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$75,000,000","$75,000,000","$75,000,000",,Most Recent NOI:,"$14,200,903 (9/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$14,746,978 (12/31/2024)"
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI:,"$14,632,281 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy(7):,90.1% (10/8/2025)
RE Taxes:,$0,$0,Springing(3),NAP,,2nd Most Recent Occupancy:,97.0% (12/31/2024)
Insurance:,$0,$0,Springing(4),NAP,,3rd Most Recent Occupancy:,98.0% (12/31/2023)
Replacement Reserve:,$0,$0,Springing(5),NAP,,Appraised Value (as of):,"$158,700,000 (10/19/2025)"
TI/LC Reserve:,$0,$0,Springing(6),NAP,,Appraised Value PSF(7):,$267
,,,,,,Cut-off Date LTV Ratio:,56.7%
,,,,,,Maturity Date LTV Ratio:,50.8%
,,,,,,,
