0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"November 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"December 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"January 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"February 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"March 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"April 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"May 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"June 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"July 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"September 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"October 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"November 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"December 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"January 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"February 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,97.87
"March 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,90.26
"April 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,82.90
"May 15, 2026",,,100.00,,100.00,,100.00,,100.00,,93.20,,75.79
"June 15, 2026",,,100.00,,100.00,,100.00,,97.66,,86.63,,68.93
"July 15, 2026",,,100.00,,100.00,,100.00,,91.44,,80.25,,62.29
"August 15, 2026",,,100.00,,100.00,,100.00,,85.37,,74.05,,55.90
"September 15, 2026",,,100.00,,100.00,,95.51,,79.44,,68.03,,49.74
"October 15, 2026",,,100.00,,100.00,,89.82,,73.66,,62.19,,43.83
"November 15, 2026",,,100.00,,100.00,,84.22,,68.02,,56.54,,38.15
"December 15, 2026",,,100.00,,100.00,,78.73,,62.54,,51.07,,32.72
"January 15, 2027",,,100.00,,97.88,,73.33,,57.21,,45.79,,27.54
"February 15, 2027",,,100.00,,92.44,,68.04,,52.02,,40.69,,22.60
"March 15, 2027",,,100.00,,87.03,,62.85,,47.00,,35.79,,17.91
"April 15, 2027",,,100.00,,81.65,,57.77,,42.13,,31.08,,13.48
"May 15, 2027",,,97.65,,76.39,,52.86,,37.46,,26.60,,9.31
"June 15, 2027",,,92.66,,71.65,,48.40,,33.20,,22.48,,5.42
"July 15, 2027",,,87.65,,66.94,,44.03,,29.07,,18.52,,1.75
"August 15, 2027",,,82.59,,62.25,,39.76,,25.08,,14.74,,0.00
"September 15, 2027",,,77.50,,57.58,,35.57,,21.22,,11.12,,0.00
"October 15, 2027",,,72.37,,52.93,,31.48,,17.50,,7.67,,0.00
"November 15, 2027",,,67.21,,48.31,,27.49,,13.92,,4.39,,0.00
"December 15, 2027",,,62.01,,43.72,,23.58,,10.49,,1.28,,0.00
"January 15, 2028",,,56.77,,39.15,,19.77,,7.19,,0.00,,0.00
"February 15, 2028",,,51.50,,34.60,,16.06,,4.04,,0.00,,0.00
"March 15, 2028",,,46.19,,30.09,,12.45,,1.03,,0.00,,0.00
"April 15, 2028",,,41.91,,26.42,,9.46,,0.00,,0.00,,0.00
"May 15, 2028",,,37.61,,22.78,,6.55,,0.00,,0.00,,0.00
"June 15, 2028",,,33.62,,19.41,,3.88,,0.00,,0.00,,0.00
"July 15, 2028",,,29.60,,16.07,,1.28,,0.00,,0.00,,0.00
"August 15, 2028",,,25.55,,12.74,,0.00,,0.00,,0.00,,0.00
"September 15, 2028",,,21.47,,9.43,,0.00,,0.00,,0.00,,0.00
"October 15, 2028",,,17.36,,6.15,,0.00,,0.00,,0.00,,0.00
"November 15, 2028",,,13.22,,2.88,,0.00,,0.00,,0.00,,0.00
"December 15, 2028",,,9.05,,0.00,,0.00,,0.00,,0.00,,0.00
"January 15, 2029",,,4.85,,0.00,,0.00,,0.00,,0.00,,0.00
"February 15, 2029",,,0.63,,0.00,,0.00,,0.00,,0.00,,0.00
"March 15, 2029",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,3.44,,3.13,,2.73,,2.46,,2.27,,1.99
Weighted Average Life to Maturity (Years)(2),,,3.44,,3.13,,2.73,,2.46,,2.27,,1.99
,,,,,,,,,,,,,
