0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,
Payment Date,,0.00%,0.00%,,,0.50%,0.50%,,,1.00%,,,1.30%,,,1.50%,1.50%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
November 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
December 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
January 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
February 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,89.00,%
March 2026,,,100.00,%,,,100.00,%,,100.00,%,,98.06,%,,,92.69,%,,,77.57,%
April 2026,,,100.00,%,,,100.00,%,,97.92,%,,89.50,%,,,83.43,%,,,66.41,%
May 2026,,,100.00,%,,,100.00,%,,90.41,%,,81.07,%,,,74.36,%,,,55.53,%
June 2026,,,100.00,%,,,98.16,%,,82.99,%,,72.79,%,,,65.46,%,,,44.91,%
July 2026,,,100.00,%,,,92.08,%,,75.68,%,,64.66,%,,,56.75,%,,,34.56,%
August 2026,,,100.00,%,,,86.04,%,,68.49,%,,56.69,%,,,48.22,%,,,24.48,%
September 2026,,,96.36,%,,,80.03,%,,61.38,%,,48.86,%,,,39.87,%,,,14.68,%
October 2026,,,91.27,%,,,74.04,%,,54.38,%,,41.18,%,,,31.69,%,,,5.15,%
November 2026,,,86.14,%,,,68.08,%,,47.47,%,,33.64,%,,,23.70,%,,,0.00,%
December 2026,,,80.98,%,,,62.14,%,,40.66,%,,26.24,%,,,15.89,%,,,0.00,%
January 2027,,,75.78,%,,,56.23,%,,33.95,%,,18.99,%,,,8.26,%,,,0.00,%
February 2027,,,70.55,%,,,50.35,%,,27.33,%,,11.89,%,,,0.81,%,,,0.00,%
March 2027,,,65.28,%,,,44.50,%,,20.82,%,,4.94,%,,,0.00,%,,,0.00,%
April 2027,,,59.98,%,,,38.67,%,,14.40,%,,0.00,%,,,0.00,%,,,0.00,%
May 2027,,,54.64,%,,,32.87,%,,8.09,%,,0.00,%,,,0.00,%,,,0.00,%
June 2027,,,49.40,%,,,27.22,%,,1.97,%,,0.00,%,,,0.00,%,,,0.00,%
July 2027,,,44.22,%,,,21.68,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
August 2027,,,39.01,%,,,16.17,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
September 2027,,,33.77,%,,,10.69,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
October 2027,,,28.48,%,,,5.23,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
November 2027,,,23.17,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
December 2027,,,17.81,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
January 2028,,,12.42,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
February 2028,,,7.00,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
March 2028,,,1.53,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
April 2028,,,0.00,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life to Call (years)(1),,,1.78,,,,1.46,,,1.18,,,1.03,,,,0.95,,,,0.75,
Weighted Average Life to Maturity (years)(2),,,1.78,,,,1.46,,,1.18,,,1.03,,,,0.95,,,,0.75,
