0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"September 21, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"October 21, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"November 21, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"December 21, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"January 21, 2026",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,94.78%
"February 21, 2026",,100.00%,,100.00%,,100.00%,,98.24%,,92.51%,,82.96%
"March 21, 2026",,100.00%,,100.00%,,94.21%,,88.33%,,81.99%,,71.48%
"April 21, 2026",,100.00%,,93.93%,,85.06%,,78.64%,,71.75%,,60.34%
"May 21, 2026",,99.87%,,85.66%,,76.09%,,69.19%,,61.79%,,49.55%
"June 21, 2026",,92.81%,,77.62%,,67.40%,,60.02%,,52.13%,,39.10%
"July 21, 2026",,85.81%,,69.70%,,58.88%,,51.08%,,42.74%,,29.00%
"August 21, 2026",,78.84%,,61.91%,,50.54%,,42.36%,,33.62%,,19.25%
"September 21, 2026",,71.92%,,54.24%,,42.39%,,33.87%,,24.78%,,9.85%
"October 21, 2026",,65.05%,,46.70%,,34.42%,,25.60%,,16.20%,,0.81%
"November 21, 2026",,58.22%,,39.29%,,26.64%,,17.56%,,7.90%,,0.00%
"December 21, 2026",,51.44%,,32.01%,,19.04%,,9.75%,,0.00%,,0.00%
"January 21, 2027",,44.70%,,24.85%,,11.62%,,2.17%,,0.00%,,0.00%
"February 21, 2027",,38.01%,,17.82%,,4.40%,,0.00%,,0.00%,,0.00%
"March 21, 2027",,31.36%,,10.93%,,0.00%,,0.00%,,0.00%,,0.00%
"April 21, 2027",,25.37%,,4.65%,,0.00%,,0.00%,,0.00%,,0.00%
"May 21, 2027",,19.42%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"June 21, 2027",,13.50%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"July 21, 2027",,7.63%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"August 21, 2027",,1.80%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"September 21, 2027",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,1.43,,1.21,,1.08,,1.01,,0.93,,0.82
Weighted Average Life To Call (years)(1)(3),,1.43,,1.21,,1.08,,1.01,,0.93,,0.82
