0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"League City, TX 77573"
Original Balance:,Original Balance:,"$19,600,000","$19,600,000",,General Property Type:,Multifamily
Cut-off Date Balance:,Cut-off Date Balance:,"$19,600,000","$19,600,000",,Detailed Property Type:,Garden
% of Initial Pool Balance:,% of Initial Pool Balance:,2.6%,2.6%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,,Year Built/Renovated:,1984/2022-2025
Borrower Sponsor:,Borrower Sponsor:,"SRJ Real Estate Investments, LLC","SRJ Real Estate Investments, LLC",,Size:,164 Units
Guarantors:,Guarantors:,"Dung Danny Phu, Donnie Trinh, Carmina Del Fonso, Scott Hermstein and Brian C. Pidcock","Dung Danny Phu, Donnie Trinh, Carmina Del Fonso, Scott Hermstein and Brian C. Pidcock",,Cut-off Date Balance per Unit:,"$119,512"
Mortgage Rate:,Mortgage Rate:,6.4140%,6.4140%,,Maturity Date Balance per Unit:,"$119,512"
Note Date:,Note Date:,2/6/2026,2/6/2026,,Property Manager:,"Q10 Property Advisors, LLC"
Maturity Date:,Maturity Date:,2/6/2031,2/6/2031,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,,UW NOI:,"$1,609,025"
IO Period:,IO Period:,60 months,60 months,,UW NCF:,"$1,568,025"
Seasoning:,Seasoning:,1 month,1 month,,UW NOI Debt Yield:,8.2%
Prepayment Provisions:,Prepayment Provisions:,"L(25),YM2(32),O(3)","L(25),YM2(32),O(3)",,UW NCF Debt Yield:,8.0%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Soft/Springing,Soft/Springing,,UW NOI Debt Yield at Maturity:,8.2%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,,UW NCF DSCR:,1.23x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,,Most Recent NOI:,"$1,473,680 (12/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI:,"$1,373,300 (12/31/2024)"
,,,,,3rd Most Recent NOI:,"$1,353,708 (12/31/2023)"
Reserves,Reserves,Reserves,Reserves,,Most Recent Occupancy:,93.3% (1/28/2026)
Type,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,93.2% (12/31/2024)
RE Taxes:,"$39,959","$19,980",NAP,,3rd Most Recent Occupancy:,92.4% (12/31/2023)
Insurance:,"$149,196","$13,563",NAP,,Appraised Value (as of):,"$27,600,000 (10/30/2025)"
Replacement Reserve:,$0,"$3,417",NAP,,Appraised Value per Unit:,"$168,293"
Deferred Maintenance:,"$25,300",$0,NAP,,Cut-off Date LTV Ratio:,71.0%
,,,,,Maturity Date LTV Ratio:,71.0%
,,,,,,
