0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2024-1,AART 2024-1,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,9.62,%,,,9.52,%
Aggregate Amount Financed,,$,1121999935.31,,,$,1121998836.17,
Number of Contracts in Pool,,,59162,,,,58335,
Average Amount Financed,,$,18964.88,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,70.97,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,53.76,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,82.05,%,,,79.88,%
Percentage of New Vehicles,,,40.00,%,,,40.03,%
Weighted Average FICO Score,,,734.63,,,,734.97,
Weighted Average Loan-to-Value,,,95.81,,,,94.61,
Cutoff Date,,,"February 1, 2024",,,,"September 1, 2025",
