0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"May 15, 2024",,100%,,100%,,100%,,100%,,100%
"June 15, 2024",,100%,,100%,,100%,,100%,,97%
"July 15, 2024",,99%,,92%,,89%,,86%,,79%
"August 15, 2024",,91%,,83%,,79%,,74%,,65%
"September 15, 2024",,84%,,73%,,68%,,63%,,52%
"October 15, 2024",,77%,,64%,,58%,,51%,,38%
"November 15, 2024",,70%,,55%,,47%,,40%,,25%
"December 15, 2024",,62%,,46%,,37%,,29%,,12%
"January 15, 2025",,55%,,36%,,27%,,18%,,0%
"February 15, 2025",,48%,,27%,,17%,,7%,,0%
"March 15, 2025",,41%,,18%,,7%,,0%,,0%
"April 15, 2025",,33%,,9%,,0%,,0%,,0%
"May 15, 2025",,26%,,0%,,0%,,0%,,0%
"June 15, 2025",,19%,,0%,,0%,,0%,,0%
"July 15, 2025",,12%,,0%,,0%,,0%,,0%
"August 15, 2025",,5%,,0%,,0%,,0%,,0%
"September 15, 2025",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,0.83,,0.65,,0.58,,0.53,,0.45
Weighted Average Life (Years) to Maturity,,0.83,,0.65,,0.58,,0.53,,0.45
