0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB,JPMCB,JPMCB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Houston, TX 77079"
Original Balance(1):,Original Balance(1):,"$65,000,000","$65,000,000","$65,000,000",,General Property Type:,Office
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$65,000,000","$65,000,000","$65,000,000",,Detailed Property Type:,Suburban
% of Initial Pool Balance:,% of Initial Pool Balance:,7.6%,7.6%,7.6%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2015-2016/2024
Borrower Sponsor:,Borrower Sponsor:,Joint Venture between Fuller,Joint Venture between Fuller,Joint Venture between Fuller,,Size:,"715,935 SF"
,,"Realty Interests, LLC and PCCP,","Realty Interests, LLC and PCCP,","Realty Interests, LLC and PCCP,",,Cut-off Date Balance PSF(1):,$148
,,LLC,LLC,LLC,,Maturity Date Balance PSF(1):,$148
Guarantors:,Guarantors:,Various(2),Various(2),Various(2),,Property Manager:,"Fuller Realty Interests, LLC"
Mortgage Rate:,Mortgage Rate:,7.03500%,7.03500%,7.03500%,,,(borrower sponsor affiliate)
Note Date:,Note Date:,4/9/2026,4/9/2026,4/9/2026,,,
Maturity Date:,Maturity Date:,5/1/2031,5/1/2031,5/1/2031,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$11,193,836"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$10,715,418"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield(1):,10.6%
Prepayment Provisions:,Prepayment Provisions:,"L(25),YM1(29),O(6)","L(25),YM1(29),O(6)","L(25),YM1(29),O(6)",,UW NCF Debt Yield(1):,10.1%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,10.6%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.42x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$41,000,000","$41,000,000","$41,000,000",,Most Recent NOI(5):,"$11,174,811 (12/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI(5):,"$4,519,788 (12/31/2024)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,3rd Most Recent NOI:,"$4,403,892 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy(6):,78.8% (2/28/2026)
RE Taxes:,"$1,369,372","$1,369,372","$282,091",NAP,,2nd Most Recent Occupancy(5):,94.5% (12/31/2024)
Insurance:,"$143,096","$143,096",Springing,NAP,,3rd Most Recent Occupancy(5):,46.3% (12/31/2023)
Required Repairs Reserve:,"$62,215","$62,215",$0,NAP,,Appraised Value (as of)(7):,"$188,000,000 (3/27/2026)"
Replacement Reserve:,"$11,932","$11,932","$11,932",NAP,,Appraised Value PSF(7):,$263
Rollover Reserve:,"$5,149,153","$5,149,153","$149,153",NAP,,Cut-off Date LTV Ratio(1)(7):,56.4%
Accretive Leasing Reserve(4):,$0,$0,"$317,584",NAP,,Maturity Date LTV Ratio(1)(7):,56.4%
,,,,,,,
,,,,,,,
,,,,,,,
