0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes,Class A-1  Notes
Payment Date,,0.00%,0.00%,,,0.50%,0.50%,,,1.00%,,1.30%,1.30%,,,1.50%,1.50%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,100.00%,,,100.00,%,,,100.00,%,,,100.00,%
July 2025,,,83.89,%,,,79.25,%,,73.92%,,,70.33,%,,,67.74,%,,,60.44,%
August 2025,,,76.31,%,,,69.27,%,,61.20%,,,55.76,%,,,51.83,%,,,40.76,%
September 2025,,,68.68,%,,,59.33,%,,48.62%,,,41.40,%,,,36.19,%,,,21.51,%
October 2025,,,60.99,%,,,49.43,%,,36.19%,,,27.26,%,,,20.82,%,,,2.67,%
November 2025,,,53.25,%,,,39.56,%,,23.90%,,,13.33,%,,,5.72,%,,,0.00,%
December 2025,,,45.45,%,,,29.74,%,,11.75%,,,0.00,%,,,0.00,%,,,0.00,%
January 2026,,,37.59,%,,,19.95,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
February 2026,,,29.68,%,,,10.20,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
March 2026,,,21.71,%,,,0.48,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
April 2026,,,13.69,%,,,0.00,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
May 2026,,,5.63,%,,,0.00,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
June 2026,,,0.00,%,,,0.00,%,,0.00%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life to Call (years)(1),,,0.51,,,,0.39,,,0.31,,,0.27,,,,0.25,,,,0.20,
Weighted Average Life to Maturity (years)(2),,,0.51,,,,0.39,,,0.31,,,0.27,,,,0.25,,,,0.20,
