0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-4,AART 2019-4,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,6.63,%,,,9.52,%
Aggregate Amount Financed,,$,1050522784.44,,,$,1121998836.17,
Number of Contracts in Pool,,,66361,,,,58335,
Average Amount Financed,,$,15830.42,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,66.83,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,52.95,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,67.60,%,,,79.88,%
Percentage of New Vehicles,,,70.00,%,,,40.03,%
Weighted Average FICO Score,,,740.76,,,,734.97,
Weighted Average Loan-to-Value,,,94.28,,,,94.61,
Cutoff Date,,,"November 1, 2019",,,,"September 1, 2025",
