0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-3,AART 2022-3,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,6.77,%,,,9.52,%
Aggregate Amount Financed,,$,1028968867.29,,,$,1121998836.17,
Number of Contracts in Pool,,,61982,,,,58335,
Average Amount Financed,,$,16601.09,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,70.07,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,50.40,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,79.19,%,,,79.88,%
Percentage of New Vehicles,,,40.00,%,,,40.03,%
Weighted Average FICO Score,,,729.00,,,,734.97,
Weighted Average Loan-to-Value,,,94.45,,,,94.61,
Cutoff Date,,,"November 1, 2022",,,,"September 1, 2025",
