0,1,2
Hyundai  Auto Receivables  Trust 2025-B  Issuing  entity,Hyundai  Auto Receivables  Trust 2025-B  Issuing  entity,
"If the aggregate initial principal amount of the notes is $1,500,000,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,500,000,000, the following notes will be issued:",
Class A-1  Notes,"$332,000,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$484,500,000",
Class A-4  Notes,"$100,140,000",
Class B  Notes,"$27,700,000",
Class C  Notes,"$46,160,000",
,,
"If the aggregate initial principal amount of the notes is $1,750,000,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,750,000,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$387,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$565,300,000",
Class  A-4 Notes,"$117,140,000",
Class  B Notes,"$32,310,000",
Class  C Notes,"$53,850,000",
,,
"If the aggregate initial principal amount of the notes is $2,022,230,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $2,022,230,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$448,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$653,200,000",
Class  A-4 Notes,"$134,660,000",
Class  B Notes,"$37,340,000",
Class  C Notes,"$62,230,000",
,,
PROSPECTUS,PROSPECTUS,
