0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,
Payment Date,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,
Closing Date,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"April 15, 2025",,90.03,,87.28,,84.19,,82.11,,79.02,,76.38,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"May 15, 2025",,80.62,,75.23,,69.15,,65.08,,59.01,,53.83,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"June 15, 2025",,71.20,,63.26,,54.32,,48.33,,39.39,,31.78,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"July 15, 2025",,61.70,,51.32,,39.62,,31.80,,20.12,,10.18,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"August 15, 2025",,52.18,,39.46,,25.13,,15.54,,1.25,,0.00,,100.00,,100.00,,100.00,,100.00,,100.00,,94.02,
"September 15, 2025",,42.62,,27.66,,10.81,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,99.75,,90.56,,82.74,
"October 15, 2025",,32.98,,15.89,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,98.17,,91.13,,80.64,,71.71,
"November 15, 2025",,23.32,,4.20,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,90.53,,82.66,,70.93,,60.95,
"December 15, 2025",,13.60,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,95.93,,82.98,,74.32,,61.42,,50.45,
"January 15, 2026",,3.85,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,89.60,,75.53,,66.13,,52.13,,40.22,
