0,1,2,3,4
,,,,
Underwriter,,Principal  Amount of Class A-2 Notes(1),,Principal  Amount of Class A-3 Notes(1)
Citigroup Global Markets Inc.,,$,,$
"RBC Capital Markets, LLC",,$,,$
Santander US Capital Markets LLC,,$,,$
"Wells Fargo Securities, LLC",,$,,$
"CastleOak Securities, L.P.",,$,,$
"Samuel A. Ramirez & Company, Inc.",,$,,$
,,,,
Total,,"$490,500,000(2)",,"$332,600,000(2)"
,,,,
