0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-1,AART 2019-1,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,6.93,%,,,9.52,%
Aggregate Amount Financed,,$,1119999920.35,,,$,1121998836.17,
Number of Contracts in Pool,,,66201,,,,58335,
Average Amount Financed,,$,16918.17,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,66.13,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,56.69,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,67.96,%,,,79.88,%
Percentage of New Vehicles,,,70.33,%,,,40.03,%
Weighted Average FICO Score,,,735.05,,,,734.97,
Weighted Average Loan-to-Value,,,93.39,,,,94.61,
Cutoff Date,,,"January 1, 2019",,,,"September 1, 2025",
