0,1,2,3,4,5,6,7,8
Class,,Initial  Note  Principal  Amount(1)(2),Initial  Note  Principal  Amount(1)(2),,,Interest  Rate,,Final  Scheduled  Payment Date  (Payment Date In)
Class A-1  Notes,,$,50200000,,,%,,June 2026
Class A-2  Notes,,$,91224000,,,%,,January 2028
Class A-3  Notes,,$,60816000,,,%,,December 2028
Class B  Notes,,$,48128000,,,%,,August 2029
Class C  Notes,,$,60672000,,,%,,March 2031
Class D  Notes,,$,89600000,,,%,,March 2031
