0,1,2
THE ASSET  REPRESENTATIONS REVIEWER,THE ASSET  REPRESENTATIONS REVIEWER,60.0
,,
THE RECEIVABLES,THE RECEIVABLES,61.0
,General,61.0
,Characteristics of the Receivables,62.0
,Pool Underwriting,62.0
,Third-Party Collections and Repossessions,85.0
,,
"DELINQUENCIES,  REPOSSESSIONS AND LOAN LOSS INFORMATION","DELINQUENCIES,  REPOSSESSIONS AND LOAN LOSS INFORMATION",86.0
,,
STATIC POOLS,STATIC POOLS,89.0
,,
DEPOSITOR  REVIEW OF RECEIVABLES,DEPOSITOR  REVIEW OF RECEIVABLES,89.0
,,
ASSET-LEVEL  DATA FOR THE RECEIVABLES,ASSET-LEVEL  DATA FOR THE RECEIVABLES,90.0
,,
USE OF PROCEEDS,USE OF PROCEEDS,90.0
,,
MATURITY  AND PREPAYMENT CONSIDERATIONS,MATURITY  AND PREPAYMENT CONSIDERATIONS,91.0
,,
WEIGHTED  AVERAGE LIFE OF THE NOTES,WEIGHTED  AVERAGE LIFE OF THE NOTES,91.0
,,
POOL FACTORS  AND TRADING INFORMATION,POOL FACTORS  AND TRADING INFORMATION,108.0
,,
THE NOTES,THE NOTES,108.0
,General,108.0
,Minimum Denominations,108.0
,Payments of Interest,109.0
,Calculation of Floating Rate Interest,109.0
,Payments of Principal,112.0
,The Indenture,113.0
,,
THE CERTIFICATES,THE CERTIFICATES,118.0
,General,118.0
,Payments of Interest,119.0
,Payments of Principal,119.0
,Governing Law,120.0
,,
PAYMENTS  ON THE NOTES,PAYMENTS  ON THE NOTES,120.0
,Payment of Distributable Amounts,120.0
,,
CREDIT ENHANCEMENT,CREDIT ENHANCEMENT,122.0
,Subordination,122.0
,Reserve Fund,122.0
,Yield Supplement Account,123.0
,Excess Interest,123.0
,,
CERTAIN INFORMATION  REGARDING THE SECURITIES,CERTAIN INFORMATION  REGARDING THE SECURITIES,124.0
,Fixed Rate Securities,124.0
