0,1,2,3,4
,,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair  value of the Notes and Certificates)
Class A-1 Notes,,$144.0,,12.0%
Class A-2a Notes,,$191.5,,15.9% - 16.0%
Class A-2b Notes,,$191.5,,15.9% - 16.0%
Class A-3 Notes,,$383.0,,31.9% - 32.0%
Class A-4 Notes,,$90.0,,7.5%
Certificates,,$197.3 - $200.8,,16.5% - 16.7%
Total,,"$1,197.3 - $1,200.8",,100.0%
