0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
,,Note A-22,Non-Control,"$25,000,000",BBCMS 2026-5C40(3)
,,Note A-23,Non-Control,"$10,000,000",Goldman Sachs Mortgage Company
,,Note A-24,Non-Control,"$5,000,000",Goldman Sachs Mortgage Company
,,Note B-1,Non-Control,"$360,880,000",BX 2025-ARIA
,,Note B-2,Non-Control,"$180,440,000",BX 2025-ARIA
,,Note B-3,Non-Control,"$180,440,000",BX 2025-ARIA
,,Note B-4,Non-Control,"$180,440,000",BX 2025-ARIA
Kirby Industrial,Serviced,Note A-1,Control,"$30,000,000",WFCM 2026-5C8
Kirby Industrial,Serviced,Note A-2,Non-Control,"$21,000,000",Citi Real Estate Funding Inc.
Kirby Industrial,Serviced,Note A-3,Non-Control,"$30,000,000",WFCM 2026-5C8
Kirby Industrial,Serviced,Note A-4,Non-Control,"$11,000,000",WFCM 2026-5C8
Kirby Industrial,Serviced,Note A-5,Non-Control,"$10,000,000",Argentic Real Estate Finance 2 LLC
Cottage Cove Apartments,Serviced,Note A-1,Control,"$28,125,000",WFCM 2026-5C8
Cottage Cove Apartments,Serviced,Note A-2,Non-Control,"$34,375,000",WFCM 2026-5C8
Cottage Cove Apartments,Serviced,Note A-3,Non-Control,"$13,750,000",Starwood Mortgage Capital LLC
Cottage Cove Apartments,Serviced,Note A-4(5),Non-Control,"$11,250,000",Starwood Mortgage Capital LLC
Haven Leased Fee Portfolio,Serviced,Note A-1-1,Control,"$40,000,000",WFCM 2026-5C8
Haven Leased Fee Portfolio,Serviced,Note A-1-2,Non-Control,"$28,000,000",Goldman Sachs Bank USA
Haven Leased Fee Portfolio,Serviced,Note A-1-3,Non-Control,"$20,000,000",Goldman Sachs Bank USA
Haven Leased Fee Portfolio,Serviced,Note A-1-4,Non-Control,"$15,000,000",Goldman Sachs Bank USA
Haven Leased Fee Portfolio,Serviced,Note A-1-5,Non-Control,"$9,000,000",Goldman Sachs Bank USA
Haven Leased Fee Portfolio,Serviced,Note A-2-1,Non-Control,"$20,000,000",Morgan Stanley Mortgage Capital Holdings LLC
Haven Leased Fee Portfolio,Serviced,Note A-2-2,Non-Control,"$20,000,000",Morgan Stanley Mortgage Capital Holdings LLC
Haven Leased Fee Portfolio,Serviced,Note A-2-3,Non-Control,"$8,000,000",Morgan Stanley Mortgage Capital Holdings LLC
136 Madison,Serviced,Note A-1,Control,"$40,000,000",WFCM 2026-5C8
136 Madison,Serviced,Note A-2,Non-Control,"$20,000,000",Citi Real Estate Funding Inc.
Empire Mall,Non-Serviced,Note A-1,Control,"$40,000,000",WFCM 2025-5C7
Empire Mall,Non-Serviced,Note A-2,Non-Control,"$20,000,000",WFCM 2025-5C7
Empire Mall,Non-Serviced,Note A-3,Non-Control,"$20,000,000",WFCM 2026-5C8
Empire Mall,Non-Serviced,Note A-4,Non-Control,"$40,000,000",Benchmark 2025-V19
Northshore Mall,Non-Serviced,Note A-1,Control,"$50,000,000",Benchmark 2026-V20(4)
Northshore Mall,Non-Serviced,Note A-2,Non-Control,"$28,000,000",BBCMS 2026-5C40(3)
Northshore Mall,Non-Serviced,Note A-3,Non-Control,"$15,000,000",Benchmark 2026-V20(4)
Northshore Mall,Non-Serviced,Note A-4,Non-Control,"$12,000,000",German American Capital Corporation
Northshore Mall,Non-Serviced,Note A-5,Non-Control,"$10,000,000",Benchmark 2026-V20(4)
Northshore Mall,Non-Serviced,Note A-6,Non-Control,"$10,000,000",German American Capital Corporation
Northshore Mall,Non-Serviced,Note A-7,Non-Control,"$38,000,000",BANK5 2026-5YR20(2)
Northshore Mall,Non-Serviced,Note A-8-1,Non-Control,"$2,000,000",BANK5 2026-5YR20(2)
Northshore Mall,Non-Serviced,Note A-8-2,Non-Control,"$10,000,000",WFCM 2026-5C8
