0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-1,Control,"$779,120,000",BX 2025-ARIA
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-2,Non-Control,"$389,560,000",BX 2025-ARIA
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-3,Non-Control,"$389,560,000",BX 2025-ARIA
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-4,Non-Control,"$389,560,000",BX 2025-ARIA
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-5-1,Non-Control,"$54,000,000","JPMorgan Chase Bank, National Association"
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-5-2,Non-Control,"$2,000,000","JPMorgan Chase Bank, National Association"
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-6,Non-Control,"$40,000,000",BMO 2025-5C13
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-7,Non-Control,"$48,000,000",BANK5 2026-5YR20(2)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-8,Non-Control,"$48,000,000",BANK5 2026-5YR20(2)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-9-1,Non-Control,"$35,000,000",WFCM 2026-5C8
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-9-2,Non-Control,"$13,000,000","JPMorgan Chase Bank, National Association"
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-10,Non-Control,"$30,000,000",Citi Real Estate Funding Inc.
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-11,Non-Control,"$25,000,000",BBCMS 2026-5C40(3)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-12,Non-Control,"$25,000,000",Benchmark 2026-V20(4)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-13,Non-Control,"$20,000,000",WFCM 2026-5C8
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-14,Non-Control,"$20,000,000",WFCM 2026-5C8
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-15,Non-Control,"$25,000,000",BBCMS 2026-5C40(3)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-16,Non-Control,"$25,000,000",Benchmark 2026-V20(4)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-17,Non-Control,"$25,000,000",German American Capital Corporation
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-18,Non-Control,"$25,000,000",German American Capital Corporation
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-19,Non-Control,"$20,000,000",German American Capital Corporation
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-20-1,Non-Control,"$25,000,000",Benchmark 2026-V20(4)
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-20-2,Non-Control,"$25,000,000",Goldman Sachs Mortgage Company
CityCenter (Aria & Vdara),Non-Serviced AB Whole Loan,Note A-21,Non-Control,"$30,000,000",Goldman Sachs Mortgage Company
