0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-4,AART 2019-4,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,6.63,%,,,9.10,%
Aggregate Amount Financed,,$,1050522784.44,,,$,1121938434.96,
Number of Contracts in Pool,,,66361,,,,59907,
Average Amount Financed,,$,15830.42,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,66.83,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,52.95,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,67.60,%,,,80.01,%
Percentage of New Vehicles,,,70.00,%,,,40.02,%
Weighted Average FICO Score,,,740.76,,,,734.12,
Weighted Average Loan-to-Value,,,94.28,,,,94.27,
Cutoff Date,,,"November 1, 2019",,,,"February 1, 2026",
