0,1,2,3,4,5
Assumed Purchase  Price (%  of Initial Notional Amount  of Class X-A certificates (excluding accrued interest)),Prepayment Assumption  (CPP),Prepayment Assumption  (CPP),Prepayment Assumption  (CPP),Prepayment Assumption  (CPP),Prepayment Assumption  (CPP)
Assumed Purchase  Price (%  of Initial Notional Amount  of Class X-A certificates (excluding accrued interest)),0% CPP,25% CPP,50% CPP,75% CPP,100% CPP
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
,,,,,
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
[__]-[__],[__]%,[__]%,[__]%,[__]%,[__]%
