0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-2,AART 2022-2,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,6.55,%,,,9.52,%
Aggregate Amount Financed,,$,1112887614.32,,,$,1121998836.17,
Number of Contracts in Pool,,,59250,,,,58335,
Average Amount Financed,,$,18782.91,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,69.41,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,55.00,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,77.77,%,,,79.88,%
Percentage of New Vehicles,,,50.01,%,,,40.03,%
Weighted Average FICO Score,,,729.59,,,,734.97,
Weighted Average Loan-to-Value,,,93.57,,,,94.61,
Cutoff Date,,,"September 1, 2022",,,,"September 1, 2025",
