0,1,2
Deposits to the Collection Account,,126.0
Reserve Account,,126.0
Priority of Payments,,127.0
Overcollateralization,,129.0
Excess Interest,,129.0
Optional Redemption of the Notes,,129.0
Fees and Expenses,,130.0
"Indemnification of the Indenture Trustee, the Owner Trustee and the Grantor Trust Trustee",,130.0
Collection and Other Servicing Procedures,,131.0
Servicing Compensation and Expenses,,131.0
"Collection, Extensions and Modifications of Receivables",,132.0
Realization Upon Defaulted Receivables,,134.0
Servicer Replacement Events,,134.0
"Resignation, Removal or Replacement of the Servicer",,135.0
Waiver of Past Servicer Replacement Events,,136.0
Standby Servicing,,136.0
Evidence as to Compliance,,136.0
,,
THE INDENTURE,,137.0
,,
Material Covenants,,137.0
Noteholder Communication; List of Noteholders,,138.0
Annual Compliance Statement,,138.0
Indenture Trustee’s Annual Report,,139.0
Documents Posted by Indenture Trustee for Noteholders,,139.0
Satisfaction and Discharge of Indenture,,139.0
Resignation or Removal of the Indenture Trustee,,139.0
Events of Default,,139.0
Rights Upon Event of Default,,140.0
Priority of Payments Will Change Upon Events of Default that Result in Acceleration,,141.0
Amendment Provisions,,144.0
,,
MATERIAL LEGAL ASPECTS OF THE RECEIVABLES,,145.0
,,
Rights in the Receivables,,145.0
Security Interests in the Financed Vehicles,,147.0
Repossession,,149.0
Notice of Sale; Redemption Rights,,149.0
Deficiency Judgments and Excess Proceeds,,149.0
Consumer Protection Laws,,150.0
Consumer Financial Protection Bureau,,151.0
Certain Matters Relating to Bankruptcy,,152.0
Repurchase Obligation,,153.0
Servicemembers Civil Relief Act,,153.0
Other Limitations,,154.0
Dodd Frank Orderly Liquidation Framework,,154.0
,,
LEGAL INVESTMENT,,157.0
,,
Money Market Investment,,157.0
"Requirements for Certain European Regulated Investors, UK Regulated Investors and Affiliates",,157.0
Certain Volcker Rule Considerations,,159.0
,,
MATERIAL FEDERAL INCOME TAX CONSIDERATIONS,,159.0
