0,1,2,3,4,5
,,,,,
Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed
Chevrolet,,,,17.31,%
Ford,,,,12.63,%
Jeep,,,,9.28,%
Ram,,,,7.99,%
Toyota-Scion,,,,6.63,%
GMC,,,,6.13,%
Honda,,,,4.06,%
Nissan,,,,3.82,%
Kia,,,,3.15,%
Dodge,,,,2.83,%
