0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"August 15, 2024",,100%,,100%,,100%,,100%,,100%
"September 15, 2024",,100%,,100%,,100%,,100%,,100%
"October 15, 2024",,100%,,100%,,100%,,100%,,100%
"November 15, 2024",,100%,,100%,,100%,,100%,,100%
"December 15, 2024",,100%,,100%,,100%,,100%,,100%
"January 15, 2025",,100%,,100%,,100%,,100%,,100%
"February 15, 2025",,100%,,100%,,100%,,100%,,100%
"March 15, 2025",,100%,,100%,,100%,,100%,,100%
"April 15, 2025",,100%,,100%,,100%,,100%,,85%
"May 15, 2025",,100%,,100%,,100%,,95%,,68%
"June 15, 2025",,100%,,100%,,96%,,81%,,52%
"July 15, 2025",,100%,,99%,,83%,,67%,,35%
"August 15, 2025",,100%,,87%,,71%,,54%,,19%
"September 15, 2025",,100%,,76%,,58%,,40%,,3%
"October 15, 2025",,100%,,64%,,45%,,26%,,0%
"November 15, 2025",,93%,,53%,,33%,,13%,,0%
"December 15, 2025",,83%,,42%,,21%,,0%,,0%
"January 15, 2026",,74%,,31%,,9%,,0%,,0%
"February 15, 2026",,65%,,20%,,0%,,0%,,0%
"March 15, 2026",,56%,,9%,,0%,,0%,,0%
"April 15, 2026",,47%,,0%,,0%,,0%,,0%
"May 15, 2026",,38%,,0%,,0%,,0%,,0%
"June 15, 2026",,29%,,0%,,0%,,0%,,0%
"July 15, 2026",,20%,,0%,,0%,,0%,,0%
"August 15, 2026",,11%,,0%,,0%,,0%,,0%
"September 15, 2026",,2%,,0%,,0%,,0%,,0%
"October 15, 2026",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,1.74,,1.38,,1.24,,1.12,,0.94
Weighted Average Life (Years) to Maturity,,1.74,,1.38,,1.24,,1.12,,0.94
