0,1,2,3,4,5,6,7,8,9,10
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
"September 15, 2029",,100%,,0%,,0%,,0%,,0%
"October 15, 2029",,100%,,0%,,0%,,0%,,0%
"November 15, 2029",,100%,,0%,,0%,,0%,,0%
"December 15, 2029",,100%,,0%,,0%,,0%,,0%
"January 15, 2030",,100%,,0%,,0%,,0%,,0%
"February 15, 2030",,100%,,0%,,0%,,0%,,0%
"March 15, 2030",,100%,,0%,,0%,,0%,,0%
"April 15, 2030",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,4.89,,4.14,,3.73,,3.39,,2.73
Weighted Average Life (Years) to Maturity,,5.17,,4.45,,3.99,,3.58,,2.91
