0,1,2,3,4,5,6
Payment Date,,Yield Supplement Overcollateralization Amount,,Payment Date,,Yield Supplement Overcollateralization Amount
Closing Date,,"$71,062,913.09",,August 2027,,"$9,736,191.53"
November 2024,,65896011.67,,September 2027,,8901122.17
December 2024,,63385261.01,,October 2027,,8113802.83
January 2025,,60923726.40,,November 2027,,7373424.80
February 2025,,58511975.86,,December 2027,,6678751.77
March 2025,,56149950.00,,January 2028,,6028884.69
April 2025,,53837518.32,,February 2028,,5422271.95
May 2025,,51574843.27,,March 2028,,4856368.60
June 2025,,49362112.36,,April 2028,,4329468.01
July 2025,,47199511.31,,May 2028,,3840595.29
August 2025,,45087165.29,,June 2028,,3388563.09
September 2025,,43025123.81,,July 2028,,2971355.86
October 2025,,41013390.49,,August 2028,,2588115.50
November 2025,,39052048.37,,September 2028,,2238028.29
December 2025,,37141099.92,,October 2028,,1920133.61
January 2026,,35280768.74,,November 2028,,1633553.41
February 2026,,33471175.84,,December 2028,,1377111.35
March 2026,,31712355.78,,January 2029,,1149772.10
April 2026,,30004584.69,,February 2029,,950336.00
May 2026,,28348215.69,,March 2029,,777229.06
June 2026,,26743609.03,,April 2029,,629032.71
July 2026,,25191058.48,,May 2029,,503276.13
August 2026,,23690792.03,,June 2029,,396947.73
September 2026,,22242917.38,,July 2029,,306261.77
October 2026,,20847493.23,,August 2029,,229979.07
November 2026,,19504388.97,,September 2029,,167046.00
December 2026,,18213366.61,,October 2029,,116232.50
January 2027,,16974347.51,,November 2029,,76386.52
February 2027,,15787169.57,,December 2029,,46269.13
March 2027,,14651526.93,,January 2030,,24707.78
April 2027,,13567329.03,,February 2030,,10595.34
May 2027,,12534448.49,,March 2030,,2818.53
June 2027,,11552326.76,,April 2030,,0.00
July 2027,,10619733.80,,,,
,,,,,,
,,,,,,
,,,,,,
