0,1,2,3,4,5,6,7
Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary,Comparable Office Lease Summary
"Subject/Submarket, Market/Location",Year Built/ Renovated,Size (SF),Tenant Name,Lease Size (SF),Lease Date,Rent PSF,Lease Type
"255 Greenwich (subject)(1) Downtown West, Downtown  New York, NY 10007",1987 / 2024,626617,City University of New York - BMCC  The City of New York - DCAS  Icahn School of Medicine,"244,092  217,942  14,607",Jun. 2015  Mar. 2018  Jun. 2016,$54.74  $38.89  $64.00,MG  MG  MG
"99 Hudson Street  Tribeca/City Hall, Downtown  Manhattan, NY",1930 / NAP,193749,Danielle Guizio LLC,12159,Aug. 2025,$47.04,MG
"1 New York Plaza  Downtown East, Downtown  Manhattan, NY",1970 / 1995,2582316,NYS Office of General Services,44009,Aug. 2025,$45.13,MG
"250 Broadway  Downtown East, Downtown  Manhattan, NY",1962 / NAP,648000,WeWork,60305,Jul. 2025,$38.14,MG
"225 Liberty Street  Downtown West, Downtown  Manhattan, NY",1987 / NAP,2591244,Invesco (Renewal),222846,Jun. 2025,$53.08,MG
"32 Old Slip  Downtown East, Downtown  Manhattan, NY",1987 / NAP,1161435,CFG Merchant Solutions,20585,Apr. 2025,$37.52,MG
"55 Broadway  Downtown West, Downtown  Manhattan, NY",1982 / NAP,363378,"CSA Group NY Architects & Engineers, P.C.",10557,Mar. 2025,$48.00,MG
"120 Wall Street  Downtown East, Downtown  Manhattan, NY",1929 / 2013,618801,German American Chamber of Commerce in New York (GACC New York),11465,Jan. 2025,$46.69,MG
"1 State Street Plaza  Downtown East, Downtown  Manhattan, NY",1970 / NAP,802025,IPC Systems Inc.,26580,Jan. 2025,$53.10,MG
"28 Liberty Street  Downtown East, Downtown  Manhattan, NY",1964 / 2018,2117938,New York State Attorney General,34954,Sep. 2024,$39.55,MG
"200 Vesey Street  Downtown West, Downtown  Manhattan, NY",1986 / NAP,1268216,American Express,74439,Sep. 2024,$50.29,MG
