0,1,2,3,4,5,6
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,GSMC,GSMC,GSMC,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,AA+/AAA/A3,AA+/AAA/A3,AA+/AAA/A3,,Location:,"Santa Clara, CA 95054"
Original Balance(1):,"$24,500,000","$24,500,000","$24,500,000",,General Property Type:,Office
Cut-off Date Balance(1):,"$24,500,000","$24,500,000","$24,500,000",,Detailed Property Type:,Suburban
% of Initial Pool Balance:,3.9%,3.9%,3.9%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2014/NAP
Borrower Sponsors:,"Northridge Capital, LLC and","Northridge Capital, LLC and","Northridge Capital, LLC and",,Size:,"328,867 SF"
,Kamco Investment Company,Kamco Investment Company,Kamco Investment Company,,Cut-off Date Balance Per SF(1):,$213
Guarantors:,"Northridge Capital, LLC and","Northridge Capital, LLC and","Northridge Capital, LLC and",,Maturity Date Balance Per SF(1):,$213
,"NCA Holdings, LLC","NCA Holdings, LLC","NCA Holdings, LLC",,Property Manager:,"Jones Lang LaSalle Americas, Inc."
Mortgage Rate:,5.3270%(2),5.3270%(2),5.3270%(2),,,
Note Date:,7/18/2025,7/18/2025,7/18/2025,,Underwriting  and Financial Information,Underwriting  and Financial Information
Maturity Date:,8/1/2030,8/1/2030,8/1/2030,,UW NOI:,"$14,501,759"
Term to Maturity:,60 months,60 months,60 months,,UW NCF:,"$14,435,985"
Amortization Term:,0 months,0 months,0 months,,UW NOI Debt Yield(1):,20.7%
IO Period:,60 months,60 months,60 months,,UW NCF Debt Yield(1):,20.6%
Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield at Maturity(1):,20.7%
Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF DSCR(1):,3.82x
Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,Most Recent NOI:,"$12,875,793 (12/31/2024)"
Additional Debt Type(1):,Pari Passu / B Note,Pari Passu / B Note,Pari Passu / B Note,,2nd Most Recent NOI:,"$12,599,761 (12/31/2023)"
Additional Debt Balance(1):,"$45,500,000 / $70,000,000","$45,500,000 / $70,000,000","$45,500,000 / $70,000,000",,3rd Most Recent NOI:,"$12,541,837 (12/31/2022)"
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent Occupancy:,100.0% (10/1/2025)
Reserves(3),Reserves(3),Reserves(3),Reserves(3),,2nd Most Recent Occupancy:,100.0% (12/31/2024)
Type,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
RE Taxes:,$0,Springing,NAP,,Appraised Value (as of):,"$224,600,000 (2/14/2025)"
Insurance:,$0,Springing,NAP,,Appraised Value Per SF:,$683
Replacement Reserve:,$0,Springing,"$131,547",,Cut-off Date LTV Ratio(1):,31.2%
TI/LC Reserve:,$0,Springing,"$986,601",,Maturity Date LTV Ratio(1):,31.2%
