0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-2,AART 2019-2,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,7.00,%,,,9.52,%
Aggregate Amount Financed,,$,1120998037.60,,,$,1121998836.17,
Number of Contracts in Pool,,,66351,,,,58335,
Average Amount Financed,,$,16894.97,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,66.15,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,56.60,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,66.85,%,,,79.88,%
Percentage of New Vehicles,,,70.00,%,,,40.03,%
Weighted Average FICO Score,,,736.78,,,,734.97,
Weighted Average Loan-to-Value,,,93.20,,,,94.61,
Cutoff Date,,,"May 1, 2019",,,,"September 1, 2025",
