0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2025",,,81.88,,77.14,,71.80,,68.22,,65.58,,60.70
"September 15, 2025",,,74.62,,67.63,,59.78,,54.52,,50.66,,44.08
"October 15, 2025",,,67.30,,58.17,,47.89,,41.03,,36.02,,27.79
"November 15, 2025",,,59.93,,48.73,,36.15,,27.75,,21.66,,11.82
"December 15, 2025",,,52.52,,39.34,,24.54,,14.69,,7.58,,0.00
"January 15, 2026",,,45.05,,29.98,,13.08,,1.85,,0.00,,0.00
"February 15, 2026",,,37.53,,20.66,,1.76,,0.00,,0.00,,0.00
"March 15, 2026",,,30.06,,11.48,,0.00,,0.00,,0.00,,0.00
"April 15, 2026",,,22.60,,2.38,,0.00,,0.00,,0.00,,0.00
"May 15, 2026",,,15.08,,0.00,,0.00,,0.00,,0.00,,0.00
"June 15, 2026",,,7.52,,0.00,,0.00,,0.00,,0.00,,0.00
"July 15, 2026",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,0.45,,0.34,,0.25,,0.22,,0.19,,0.16
Weighted Average Life to Maturity (Years)(2),,,0.45,,0.34,,0.25,,0.22,,0.19,,0.16
