0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB/SGFC/GSMC,JPMCB/SGFC/GSMC,JPMCB/SGFC/GSMC,,Single Asset/Portfolio:,Portfolio
,,,,,,Location:,"Cambridge, MA 02139"
Original Balance(1):,Original Balance(1):,"$57,500,000","$57,500,000","$57,500,000",,General Property Type:,Mixed Use
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$57,500,000","$57,500,000","$57,500,000",,Detailed Property Type:,Lab/Office
% of Initial Pool Balance:,% of Initial Pool Balance:,8.3%,8.3%,8.3%,,Title Vesting:,Sub-Leasehold
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,Various/Various
Borrower Sponsor:,Borrower Sponsor:,"BioMed Realty, L.P.","BioMed Realty, L.P.","BioMed Realty, L.P.",,Size:,"1,314,481 SF"
Guarantor(2):,Guarantor(2):,BRE-BMR MA Holdco LLC,BRE-BMR MA Holdco LLC,BRE-BMR MA Holdco LLC,,Cut-off Date Balance Per SF(1)(6):,$479
Mortgage Rate(3):,Mortgage Rate(3):,5.89283%,5.89283%,5.89283%,,Maturity Date Balance Per SF(1)(6):,$479
Note Date:,Note Date:,6/5/2025,6/5/2025,6/5/2025,,Property Manager:,BioMed Realty LLC
Maturity Date:,Maturity Date:,6/9/2035,6/9/2035,6/9/2035,,,(borrower-affiliate)
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting  and Financial Information(1),Underwriting  and Financial Information(1)
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$140,793,230"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF:,"$139,281,577"
Seasoning:,Seasoning:,4 months,4 months,4 months,,UW NOI Debt Yield:,16.6%
Prepayment Provisions(4):,Prepayment Provisions(4):,"L(28),D(85),O(7)","L(28),D(85),O(7)","L(28),D(85),O(7)",,UW NCF Debt Yield:,16.4%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,16.6%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu / Subordinate Debt,Pari Passu / Subordinate Debt,Pari Passu / Subordinate Debt,,UW NCF DSCR:,2.75x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$789,500,000 / $478,000,000","$789,500,000 / $478,000,000","$789,500,000 / $478,000,000",,Most Recent NOI:,"$130,971,938 (2/28/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Yes (Mezzanine),Yes (Mezzanine),Yes (Mezzanine),,2nd Most Recent NOI:,"$130,062,720 (12/31/2024)"
,,,,,,3rd Most Recent NOI:,"$123,595,795 (12/31/2023)"
Reserves(5),Reserves(5),Reserves(5),Reserves(5),Reserves(5),,Most Recent Occupancy:,95.9% (4/1/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,95.1% (12/31/2024)
RE Taxes:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,99.0% (12/31/2023)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of)(7):,"$2,400,000,000 (3/5/2025)"
Rollover Reserve:,$0,$0,Springing,"$1,314,481",,Appraised Value Per SF(6):,"$1,357"
Ground Rent Reserve:,$0,$0,Springing,NAP,,Cut-off Date LTV Ratio (7):,35.3%
Unfunded Obligations:,"$1,869,382","$1,869,382",$0,NAP,,Maturity Date LTV Ratio (7):,35.3%
Takeda Reserve:,$0,$0,Springing,NAP,,,
,,,,,,,
