0,1,2,3,4,5
,,Note D-4,Non-Control,"$27,600,000",VRTX 2025-HQ
,,Note E-1,Non-Control,"$31,640,000",VRTX 2025-HQ
,,Note E-2,Non-Control,"$15,820,000",VRTX 2025-HQ
,,Note E-3,Non-Control,"$15,820,000",VRTX 2025-HQ
,,Note E-4,Non-Control,"$15,820,000",VRTX 2025-HQ
The Campus at Lawson Lane,Non-Serviced,Note A-1,Non-Control,"$45,500,000",BANK5 2025-5YR16
The Campus at Lawson Lane,Non-Serviced,Note A-2,Non-Control,"$24,500,000",WFCM 2025-5C6
The Campus at Lawson Lane,Non-Serviced,Note B(2),Control,"$70,000,000",CPPIB Credit Investments III Inc.
Equinox Sports Club LA,Non-Serviced,Note A-1,Control,"$60,000,000",BBCMS 2025-5C36
Equinox Sports Club LA,Non-Serviced,Note A-2,Non-Control,"$6,400,000",WFCM 2025-5C6
