0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-4,AART 2019-4,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,6.63,%,,,9.62,%
Aggregate Amount Financed,,$,1050522784.44,,,$,1121999935.31,
Number of Contracts in Pool,,,66361,,,,59162,
Average Amount Financed,,$,15830.42,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,66.83,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,52.95,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,67.60,%,,,82.05,%
Percentage of New Vehicles,,,70.00,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,99.07,%,,,99.88,%
Weighted Average FICO Score,,,740.76,,,,734.63,
Weighted Average Loan-to-Value,,,94.28,,,,95.81,
Cutoff Date,,,"November 1, 2019",,,,"February 1, 2024",
