0,1,2,3,4,5,6
Payment Date,,Yield Supplement Overcollateralization Amount,,Payment Date,,Yield Supplement Overcollateralization Amount
Closing Date,,"$91,920,696.75",,August 2027,,"$12,569,409.79"
November 2024,,85232157.94,,September 2027,,11490779.49
December 2024,,81981981.80,,October 2027,,10473960.44
January 2025,,78795504.29,,November 2027,,9517878.16
February 2025,,75673460.51,,December 2027,,8620910.22
March 2025,,72615816.64,,January 2028,,7781872.93
April 2025,,69622436.31,,February 2028,,6998749.50
May 2025,,66693543.49,,March 2028,,6268278.74
June 2025,,63829399.36,,April 2028,,5588250.39
July 2025,,61030262.10,,May 2028,,4957447.25
August 2025,,58296314.15,,June 2028,,4374238.54
September 2025,,55627582.60,,July 2028,,3835929.24
October 2025,,53024067.09,,August 2028,,3341449.87
November 2025,,50485852.29,,September 2028,,2889741.22
December 2025,,48012938.93,,October 2028,,2479581.69
January 2026,,45605612.47,,November 2028,,2109796.21
February 2026,,43264036.81,,December 2028,,1778823.37
March 2026,,40988267.68,,January 2029,,1485367.88
April 2026,,38778681.52,,February 2029,,1227874.92
May 2026,,36635747.07,,March 2029,,1004324.75
June 2026,,34559910.87,,April 2029,,812864.02
July 2026,,32551524.58,,May 2029,,650331.63
August 2026,,30610876.16,,June 2029,,512830.16
September 2026,,28738101.62,,July 2029,,395546.18
October 2026,,26933318.67,,August 2029,,296898.46
November 2026,,25196302.27,,September 2029,,215523.78
December 2026,,23526750.98,,October 2029,,149834.71
January 2027,,21924562.73,,November 2029,,98381.14
February 2027,,20389562.89,,December 2029,,59541.93
March 2027,,18921359.45,,January 2030,,31764.79
April 2027,,17519849.77,,February 2030,,13598.59
May 2027,,16184895.35,,March 2030,,3615.71
June 2027,,14915760.73,,April 2030,,0.00
July 2027,,13710805.77,,,,
,,,,,,
,,,,,,
