0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"May 15, 2024",,100%,,100%,,100%,,100%,,100%
"June 15, 2024",,100%,,100%,,100%,,100%,,100%
"July 15, 2024",,100%,,100%,,100%,,100%,,100%
"August 15, 2024",,100%,,100%,,100%,,100%,,100%
"September 15, 2024",,100%,,100%,,100%,,100%,,100%
"October 15, 2024",,100%,,100%,,100%,,100%,,100%
"November 15, 2024",,100%,,100%,,100%,,100%,,100%
"December 15, 2024",,100%,,100%,,100%,,100%,,100%
"January 15, 2025",,100%,,100%,,100%,,100%,,99%
"February 15, 2025",,100%,,100%,,100%,,100%,,86%
"March 15, 2025",,100%,,100%,,100%,,96%,,73%
"April 15, 2025",,100%,,100%,,97%,,85%,,60%
"May 15, 2025",,100%,,100%,,87%,,74%,,48%
"June 15, 2025",,100%,,91%,,77%,,63%,,35%
"July 15, 2025",,100%,,82%,,68%,,53%,,23%
"August 15, 2025",,100%,,74%,,58%,,42%,,11%
"September 15, 2025",,97%,,65%,,48%,,32%,,0%
"October 15, 2025",,90%,,56%,,39%,,22%,,0%
"November 15, 2025",,83%,,48%,,30%,,12%,,0%
"December 15, 2025",,76%,,39%,,20%,,2%,,0%
"January 15, 2026",,69%,,31%,,11%,,0%,,0%
"February 15, 2026",,62%,,22%,,2%,,0%,,0%
"March 15, 2026",,55%,,14%,,0%,,0%,,0%
"April 15, 2026",,48%,,6%,,0%,,0%,,0%
"May 15, 2026",,41%,,0%,,0%,,0%,,0%
"June 15, 2026",,34%,,0%,,0%,,0%,,0%
"July 15, 2026",,27%,,0%,,0%,,0%,,0%
"August 15, 2026",,20%,,0%,,0%,,0%,,0%
"September 15, 2026",,13%,,0%,,0%,,0%,,0%
"October 15, 2026",,6%,,0%,,0%,,0%,,0%
"November 15, 2026",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,1.99,,1.58,,1.42,,1.29,,1.09
Weighted Average Life (Years) to Maturity,,1.99,,1.58,,1.42,,1.29,,1.09
