0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2024,74.29%,72.06%,70.92%,69.77%,67.43%,65.03%
December 2024,61.56%,58.09%,56.32%,54.53%,50.87%,47.11%
January 2025,48.76%,43.98%,41.53%,39.06%,33.99%,28.78%
February 2025,36.87%,30.64%,27.45%,24.22%,17.60%,10.78%
March 2025,23.77%,16.10%,12.17%,8.18%,0.00%,0.00%
April 2025,9.73%,0.59%,0.00%,0.00%,0.00%,0.00%
May 2025,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.35,0.32,0.31,0.30,0.27,0.26
Weighted Average Life to Call (years)(2)(3),0.35,0.32,0.31,0.30,0.27,0.26
