0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,,New,New,,,Used,Used,,,Total,Total,
Aggregate Outstanding Principal Balance,,$,513068779.92,,,$,1069474893.57,,,$,1582543673.49,
Number of Receivables,,,17866,,,,51824,,,,69690,
Percentage of Aggregate Outstanding Principal Balance,,,32.42,%,,,67.58,%,,,100.00,%
Average Outstanding Principal Balance,,$,28717.61,,,$,20636.67,,,$,22708.33,
Range of Outstanding Principal Balances,,$,"555.78 to $111,783.54",,,$,"501.01 to $92,753.61",,,$,"501.01 to $111,783.54",
Weighted Average Contract Rate(1),,,15.12,%,,,19.47,%,,,18.06,%
Range of Contract Rates,,,0.00% to 29.99,%,,,0.00% to 29.99,%,,,0.00% to 29.99,%
Weighted Average Remaining Term(1),,,64 months,,,,65 months,,,,65 months,
Range of Remaining Terms(2),,,4 months to 75 months,,,,4 months to 75 months,,,,4 months to 75 months,
Weighted Average Original Term(1),,,72 months,,,,71 months,,,,72 months,
Range of Original Terms(2),,,24 months to 75 months,,,,12 months to 75 months,,,,12 months to 75 months,
