0,1,2,3,4,5,6,7,8,9,10,11,12
Months Since Origination,,,,,,,,,,,,
Months Since Origination,0.0,"$14,341,590,187",,"$22,594,996",,"$1,860,487",,"$225,289",,"$206,247",,0.02%
Months Since Origination,1.0,14050475967,,26158751,,869148,,290339,,33874,,0.01%
Months Since Origination,2.0,13492442660,,74719419,,3191637,,340987,,72927,,0.03%
Months Since Origination,3.0,12931328384,,101257982,,12996502,,1459376,,155219,,0.11%
Months Since Origination,4.0,12371312201,,95311665,,24702115,,6590681,,694579,,0.26%
Months Since Origination,5.0,11801431184,,96782089,,27545944,,13171563,,2702912,,0.37%
Months Since Origination,6.0,11225841195,,95897130,,31271058,,13855381,,5980054,,0.46%
Months Since Origination,7.0,10646680456,,94461028,,32301557,,16496659,,7522155,,0.53%
Months Since Origination,8.0,10064941406,,93271107,,32801542,,17661523,,9339587,,0.59%
Months Since Origination,9.0,9478679822,,91449831,,32195339,,17928930,,9994868,,0.63%
Months Since Origination,10.0,8891109340,,88076656,,32664894,,17951371,,10389688,,0.69%
Months Since Origination,11.0,8304220046,,83440809,,32089397,,17511336,,10208676,,0.72%
Months Since Origination,12.0,7710485868,,78567095,,29157287,,16697085,,9902382,,0.72%
Months Since Origination,13.0,7117987122,,74315431,,26337552,,15870616,,9487045,,0.73%
Months Since Origination,14.0,6538421009,,68759629,,24671767,,14802238,,8953845,,0.74%
Months Since Origination,15.0,5963394356,,61785097,,22618778,,13700232,,8346454,,0.75%
Months Since Origination,16.0,5401160934,,56842821,,20540890,,12493491,,7790419,,0.76%
Months Since Origination,17.0,4843211285,,50976879,,18632494,,11280417,,7077081,,0.76%
Months Since Origination,18.0,4296999560,,45600719,,16859143,,10212131,,6426549,,0.78%
Months Since Origination,19.0,3761237529,,40736579,,15117826,,9254264,,5689989,,0.80%
Months Since Origination,20.0,3237502962,,35950131,,13428044,,8208938,,5151417,,0.83%
Months Since Origination,21.0,2726200770,,31621056,,11833266,,7347943,,4777274,,0.88%
Months Since Origination,22.0,2225809455,,26913980,,10208795,,6432197,,4302368,,0.94%
Months Since Origination,23.0,1742332052,,21963023,,8825949,,5638527,,3934938,,1.06%
Months Since Origination,24.0,1295020765,,18017502,,7364301,,4791529,,3625351,,1.22%
