0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes,Class A-2b Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"February 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"March 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"April 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"May 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"June 15, 2026",,,100.00,,100.00,,100.00,,100.00,,97.62,,90.24
"July 15, 2026",,,100.00,,100.00,,100.00,,93.95,,88.75,,80.40
"August 15, 2026",,,100.00,,100.00,,93.91,,85.84,,80.06,,70.77
"September 15, 2026",,,100.00,,100.00,,86.74,,77.88,,71.55,,61.36
"October 15, 2026",,,100.00,,94.27,,79.74,,70.10,,63.23,,52.16
"November 15, 2026",,,100.00,,88.47,,72.83,,62.47,,55.08,,43.18
"December 15, 2026",,,97.54,,82.69,,66.01,,54.96,,47.09,,34.41
"January 15, 2027",,,92.66,,76.93,,59.28,,47.59,,39.27,,25.87
"February 15, 2027",,,87.75,,71.20,,52.65,,40.36,,31.62,,17.55
"March 15, 2027",,,82.80,,65.50,,46.10,,33.27,,24.13,,9.45
"April 15, 2027",,,77.82,,59.82,,39.65,,26.31,,16.82,,1.57
"May 15, 2027",,,72.81,,54.17,,33.29,,19.49,,9.68,,0.00
"June 15, 2027",,,67.77,,48.54,,27.03,,12.81,,2.71,,0.00
"July 15, 2027",,,62.69,,42.94,,20.86,,6.28,,0.00,,0.00
"August 15, 2027",,,57.57,,37.37,,14.78,,0.00,,0.00,,0.00
"September 15, 2027",,,52.58,,31.96,,8.91,,0.00,,0.00,,0.00
"October 15, 2027",,,47.55,,26.57,,3.14,,0.00,,0.00,,0.00
"November 15, 2027",,,42.49,,21.21,,0.00,,0.00,,0.00,,0.00
"December 15, 2027",,,37.40,,15.88,,0.00,,0.00,,0.00,,0.00
"January 15, 2028",,,32.27,,10.57,,0.00,,0.00,,0.00,,0.00
"February 15, 2028",,,27.11,,5.29,,0.00,,0.00,,0.00,,0.00
"March 15, 2028",,,21.91,,0.04,,0.00,,0.00,,0.00,,0.00
"April 15, 2028",,,16.68,,0.00,,0.00,,0.00,,0.00,,0.00
"May 15, 2028",,,11.42,,0.00,,0.00,,0.00,,0.00,,0.00
"June 15, 2028",,,6.12,,0.00,,0.00,,0.00,,0.00,,0.00
"July 15, 2028",,,0.78,,0.00,,0.00,,0.00,,0.00,,0.00
"August 15, 2028",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,1.73,,1.43,,1.15,,1.01,,0.92,,0.81
Weighted Average Life to Maturity (Years)(2),,,1.73,,1.43,,1.15,,1.01,,0.92,,0.81
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
