0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2025,74.36%,71.88%,70.61%,69.32%,66.68%,63.95%
August 2025,61.89%,58.04%,56.07%,54.06%,49.95%,45.71%
September 2025,49.32%,44.03%,41.32%,38.55%,32.89%,27.01%
October 2025,36.18%,29.39%,25.90%,22.34%,15.03%,7.43%
November 2025,26.25%,17.80%,13.45%,9.01%,0.00%,0.00%
December 2025,16.17%,6.06%,0.85%,0.00%,0.00%,0.00%
January 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.35,0.31,0.30,0.29,0.26,0.25
Weighted Average Life to Call (years)(2)(3),0.35,0.31,0.30,0.29,0.26,0.25
