0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,MSMCH,MSMCH,MSMCH,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Long Island City, NY 11101"
Original Balance(1):,Original Balance(1):,"$19,000,000","$19,000,000","$19,000,000",,General Property Type:,Multifamily
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$19,000,000","$19,000,000","$19,000,000",,Detailed Property Type:,High Rise
% of Initial Pool Balance:,% of Initial Pool Balance:,2.7%,2.7%,2.7%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2024/NAP
Borrower Sponsor:,Borrower Sponsor:,Zhidong Wu,Zhidong Wu,Zhidong Wu,,Size:,122 Units
Guarantor:,Guarantor:,Zhidong Wu,Zhidong Wu,Zhidong Wu,,Cut-off Date Balance per Unit(1):,"$606,557"
Mortgage Rate:,Mortgage Rate:,6.0400%,6.0400%,6.0400%,,Maturity Date Balance per Unit(1):,"$606,557"
Note Date:,Note Date:,9/19/2025,9/19/2025,9/19/2025,,Property Manager:,Andover Property Management Inc.
Maturity Date:,Maturity Date:,10/1/2030,10/1/2030,10/1/2030,,,(borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI(3):,"$5,935,593"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$5,896,880"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield(1):,8.0%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF Debt Yield(1):,8.0%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity(1):,8.0%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.30x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$55,000,000","$55,000,000","$55,000,000",,Most Recent NOI(3):,"$2,169,256 (7/25/2025 T-10 Ann.)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI(4):,NAV
,,,,,,3rd Most Recent NOI(4):,NAV
Reserves,Reserves,Reserves,Reserves,Reserves,,Most Recent Occupancy:,97.5% (8/19/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy(4):,NAV
RE Taxes:,"$637,512","$637,512","$159,378",NAP,,3rd Most Recent Occupancy(4):,NAV
Insurance:,"$133,553","$133,553","$14,839",NAP,,Appraised Value (as of)(5):,"$122,600,000 (7/11/2025)"
Replacement Reserve:,$0,$0,"$2,542",NAP,,Appraised Value per Unit:,"$1,004,918"
421-a Reserve(2):,"$1,912,536","$1,912,536",$0,NAP,,Cut-off Date LTV Ratio(1)(5):,60.4%
Rent Concession Reserve:,"$461,879","$461,879",$0,NAP,,Maturity Date LTV Ratio(1)(5):,60.4%
,,,,,,,
