0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2024-2,AART 2024-2,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,9.89,%,,,9.10,%
Aggregate Amount Financed,,$,1114879158.52,,,$,1121938434.96,
Number of Contracts in Pool,,,61802,,,,59907,
Average Amount Financed,,$,18039.53,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,71.03,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,54.11,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,79.46,%,,,80.01,%
Percentage of New Vehicles,,,40.34,%,,,40.02,%
Weighted Average FICO Score,,,734.76,,,,734.12,
Weighted Average Loan-to-Value,,,94.29,,,,94.27,
Cutoff Date,,,"August 1, 2024",,,,"February 1, 2026",
