0,1,2,3
Cutoff  Date,"$74,384,779.51",September 2028,"$6,905,199.26"
April 2025,71616427.70,October 2028,6287278.16
May 2025,68910611.48,November 2028,5704906.48
June 2025,66267791.32,December 2028,5157392.56
July 2025,63687935.26,January 2029,4643970.55
August 2025,61170957.16,February 2029,4164047.98
September 2025,58716636.38,March 2029,3716824.46
October 2025,56324655.99,April 2029,3301465.09
November 2025,53994672.27,May 2029,2917268.56
December 2025,51726342.91,June 2029,2563470.78
January 2026,49519305.42,July 2029,2239432.52
February 2026,47373236.97,August 2029,1944396.71
March 2026,45287830.97,September 2029,1677550.38
April 2026,43262750.50,October 2029,1438093.86
May 2026,41297564.16,November 2029,1225033.53
June 2026,39391553.76,December 2029,1036969.91
July 2026,37543925.95,January 2030,872666.75
August 2026,35753763.04,February 2030,730641.54
September 2026,34019681.57,March 2030,608309.88
October 2026,32340290.16,April 2030,503169.41
November 2026,30714443.47,May 2030,413288.11
December 2026,29141181.47,June 2030,337021.41
January 2027,27620036.02,July 2030,272830.88
February 2027,26150459.01,August 2030,219154.85
March 2027,24731365.84,September 2030,174641.95
April 2027,23361910.86,October 2030,138312.60
May 2027,22041630.83,November 2030,109141.90
June 2027,20769912.38,December 2030,86014.45
July 2027,19546215.55,January 2031,68052.71
August 2027,18370034.81,February 2031,54367.85
September 2027,17240705.66,March 2031,43606.98
October 2027,16157406.39,April 2031,34698.90
November 2027,15118776.62,May 2031,26984.17
December 2027,14122875.31,June 2031,20414.07
January 2028,13168205.64,July 2031,14948.91
February 2028,12253450.49,August 2031,10507.51
March 2028,11377646.45,September 2031,7002.38
April 2028,10539827.52,October 2031,4379.87
May 2028,9739281.33,November 2031,2514.07
June 2028,8975792.15,December 2031,1261.16
July 2028,8249118.39,January 2032,501.38
August 2028,7559022.69,February 2032,122.20
