0,1,2
,,"8. to the indenture trustee (in each of its capacities under the transaction documents), the owner trustee and the asset representations reviewer, the amount of any fees, costs, expenses and  indemnification amounts due to each such party and remaining unpaid as a result of the cap set forth in clause (3) above, pro rata, based on amounts due and owing to each such party; and"
,,"9. to the holders of the certificates, any remaining amounts."
,,"On the final scheduled payment date of each class of notes, the amount required to be allocated to the note distribution account will  include the amount necessary to reduce the outstanding principal amount of that class of notes to zero.  The “overcollateralization target amount” with respect to each payment date is equal to 15.65% of the aggregate  securitization value of the specified leases as of the cutoff date."
Distributions from the Note Distribution Account,,"From deposits made to the note distribution account, the issuing entity will pay principal on the notes in the following order of  priority on each payment date prior to the acceleration of the notes:"
,,"• to the Class A-1 Notes until they are paid in full;  • to the Class A-2a Notes and the Class A-2b Notes, pro rata, based on the outstanding principal amounts of each such class of notes, until each such class is paid in full;  • to the Class A-3 Notes until they are paid in full; and  • to the Class A-4 Notes until they are paid in full."
Acceleration of the Notes; Change in Priority of Payments upon Acceleration of the Notes,,"Following the occurrence of any of the following events of default, the indenture trustee may (and, at the written direction of the  holders of a majority of the aggregate outstanding principal amount of the notes shall) accelerate the notes to become immediately due and payable:"
,,• a default for five days or more in the payment of interest on the notes;
,,• a default in the payment of principal of any note on its final scheduled payment date or redemption date;
,,• a default in the observance or performance of any covenant or agreement of the issuing entity or breach of any representation or warranty of the issuing entity (that is not cured or eliminated)  under the indenture or in connection therewith; or
,,"• an insolvency or a bankruptcy with respect to the issuing entity;  provided that a delay in or failure of performance referred to under the first bullet point above for a period of 45 days or less,  under the second bullet point above for a period of 60 days or less, or under the third bullet point above for a period of 120"
