0,1,2
Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1)
,UW,UW Per SF
Gross Potential Rent,"$3,385,138",$14.01
Total Recoveries,$0,$0.00
Other Income,$0,$0.00
Less Vacancy & Credit Loss,"($116,799)",($0.48)
Effective Gross Income,"$3,268,339",$13.53
,,
Real Estate Taxes,$0,$0.00
Insurance,$0,$0.00
Management Fee(2),"$98,050",$0.41
Total Expenses(2),"$98,050",$0.41
,,
Net Operating Income,"$3,170,289",$13.12
Capital Expenditures,"$36,234",$0.15
TI/LC,"$30,746",$0.13
Plus TI/LC Credit(3),"($30,746)",($0.13)
Net Cash Flow,"$3,134,055",$12.97
,,
Occupancy %(4),96.5%,
NOI DSCR,2.12x,
NCF DSCR,2.09x,
NOI Debt Yield,12.2%,
NCF Debt Yield,12.1%,
