0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-3,AART 2019-3,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,7.00,%,,,9.62,%
Aggregate Amount Financed,,$,1120998466.76,,,$,1121999935.31,
Number of Contracts in Pool,,,67198,,,,59162,
Average Amount Financed,,$,16682.02,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,66.15,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,56.63,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,67.02,%,,,82.05,%
Percentage of New Vehicles,,,70.00,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,99.59,%,,,99.88,%
Weighted Average FICO Score,,,736.72,,,,734.63,
Weighted Average Loan-to-Value,,,93.49,,,,95.81,
Cutoff Date,,,"August 1, 2019",,,,"February 1, 2024",
