0,1,2,3,4,5,6,7,8,9,10
,,,,Initial Principal Amount(2)(3),Initial Principal Amount(2)(3),,,Interest Rate,,Final Scheduled Maturity Date
Class A-1 Notes,,,,$,319060000,,,·%,,"February 16, 2027"
Class A-2-A Notes(4),,},,$,561260000,,,·%  SOFR Rate +·%(5),,"February 15, 2029"
Class A-2-B Notes(4),,},,$,561260000,,,·%  SOFR Rate +·%(5),,"February 15, 2029"
Class A-3 Notes,,,,$,561260000,,,·%,,"February 18, 2031"
Class A-4 Notes,,,,$,75010000,,,·%,,"December 15, 2032"
Class B Notes,,,,$,29440000,,,·%,,"December 15, 2032"
Class C Notes,,,,$,49080000,,,·%,,"June 15, 2033"
Total,,,,$,1595110000,,,,,
