0,1,2,3,4,5,6,7,8
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,"CREFI, AREF2","CREFI, AREF2","CREFI, AREF2",,Single Asset/Portfolio:,Single Asset,Single Asset
,,,,,,Location:,"Hemet, CA 92545","Hemet, CA 92545"
Original Balance(1):,Original Balance(1):,"$71,000,000","$71,000,000","$71,000,000",,General Property Type:,Industrial,Industrial
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$71,000,000","$71,000,000","$71,000,000",,Detailed Property Type:,Warehouse/Distribution,Warehouse/Distribution
% of Initial Pool Balance:,% of Initial Pool Balance:,9.3%,9.3%,9.3%,,Title Vesting:,Fee,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2025/NAP,2025/NAP
Borrower Sponsors(2):,Borrower Sponsors(2):,Various,Various,Various,,Size:,"850,640 SF","850,640 SF"
Guarantors(2):,Guarantors(2):,Various,Various,Various,,Cut-off Date Balance PSF(1):,$120,$120
Mortgage Rate:,Mortgage Rate:,6.7500%,6.7500%,6.7500%,,Maturity Date Balance PSF(1):,$120,$120
Note Date:,Note Date:,1/29/2026,1/29/2026,1/29/2026,,Property Manager:,Newland Investment Management Services LLC (borrower-related),Newland Investment Management Services LLC (borrower-related)
Maturity Date:,Maturity Date:,2/6/2031,2/6/2031,2/6/2031,,Property Manager:,Newland Investment Management Services LLC (borrower-related),Newland Investment Management Services LLC (borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$9,428,789","$9,428,789"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$8,918,405","$8,918,405"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield(1):,9.2%,9.2%
Prepayment Provisions(3):,Prepayment Provisions(3):,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NCF Debt Yield(1):,8.7%,8.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,9.2%,9.2%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.28x,
Additional Debt Balance(1):,Additional Debt Balance(1):,"$31,000,000","$31,000,000","$31,000,000",,Most Recent NOI(6):,NAV,NAV
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI(6):,NAV,NAV
Reserves(4),Reserves(4),Reserves(4),Reserves(4),Reserves(4),,3rd Most Recent NOI(6):,NAV,NAV
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy(6):,100.0% (3/6/2026),100.0% (3/6/2026)
RE Taxes:,"$797,094","$797,094","$132,849",NAP,,2nd Most Recent Occupancy(6):,NAV,NAV
Insurance:,"$369,841","$369,841","$52,834",NAP,,3rd Most Recent Occupancy(6):,NAV,NAV
Replacement Reserve:,$0,$0,"$7,089",NAP,,Appraised Value (as of)(7):,"$173,000,000 (11/12/2025)","$173,000,000 (11/12/2025)"
TI/LC Reserve:,$0,$0,"$35,443",NAP,,Appraised Value PSF:,$203,$203
Other Reserves(5):,"$3,851,294","$3,851,294",Springing,NAP,,Cut-off Date LTV Ratio(1):,59.0%,59.0%
,,,,,,Maturity Date LTV Ratio(1):,59.0%,59.0%
,,,,,,,,
