0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Initial  Offered  Amount(3),Initial  Offered  Amount(3),,,Interest  Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date(5)
Class A-1 Notes,,,$,395000000,,,$,375250000,,,·%,,"October 15, 2026",,"May 15, 2026"
Class A-2a Notes(6) Class A-2b Notes(6),},,$,602000000,,,$,571900000,,,·% SOFR Rate +·%,,"June 15, 2028 June 15, 2028",,"June 15, 2027 June 15, 2027"
Class A-3 Notes,,,$,602000000,,,$,571900000,,,·%,,"June 17, 2030",,"January 16, 2029"
Class A-4 Notes,,,$,85220000,,,$,80950000,,,·%,,"February 17, 2032",,"January 16, 2029"
Total,,,$,1684220000,,,$,1600000000,,,,,,,
