0,1,2,3,4
Cutoff Date,"$31,562,047.12",,May 2029,"$2,108,611.85"
December 2025,30293459.44,,June 2029,1891853.81
January 2026,29057249.56,,July 2029,1693246.68
February 2026,27853595.39,,August 2029,1512504.14
March 2026,26682309.80,,September 2029,1349268.79
April 2026,25543226.83,,October 2029,1202646.23
May 2026,24436080.57,,November 2029,1070342.87
June 2026,23360621.59,,December 2029,950055.73
July 2026,22316476.04,,January 2030,840549.92
August 2026,21303117.26,,February 2030,741419.38
September 2026,20319667.13,,March 2030,651917.28
October 2026,19365143.02,,April 2030,571240.25
November 2026,18438890.40,,May 2030,498787.70
December 2026,17540436.33,,June 2030,433800.29
January 2027,16669608.24,,July 2030,375615.08
February 2027,15826068.84,,August 2030,323753.70
March 2027,15009360.91,,September 2030,277685.62
April 2027,14218984.06,,October 2030,236938.20
May 2027,13454733.27,,November 2030,201017.82
June 2027,12716322.28,,December 2030,169456.29
July 2027,12003549.03,,January 2031,141695.37
