0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Payment Date,,0.50%,0.50%,,,1.00%,1.00%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.70%,1.70%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"September 18, 2026",,,79.24,%,,,74.32,%,,,71.02,%,,,68.64,%,,,66.07,%,,,61.45,%
"October 18, 2026",,,68.94,%,,,61.72,%,,,56.88,%,,,53.38,%,,,49.63,%,,,42.94,%
"November 18, 2026",,,58.70,%,,,49.28,%,,,42.97,%,,,38.42,%,,,33.53,%,,,25.21,%
"December 18, 2026",,,48.52,%,,,37.01,%,,,29.29,%,,,23.74,%,,,17.79,%,,,7.89,%
"January 18, 2027",,,38.39,%,,,24.89,%,,,15.86,%,,,9.36,%,,,2.40,%,,,0.00,%
"February 18, 2027",,,28.32,%,,,12.94,%,,,2.65,%,,,0.00,%,,,0.00,%,,,0.00,%
"March 18, 2027",,,18.31,%,,,1.16,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"April 18, 2027",,,8.36,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"May 18, 2027",,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,,0.39,,,,0.32,,,,0.28,,,,0.26,,,,0.24,,,,0.21,
Weighted Average Life To Call (years)(1)(3),,,0.39,,,,0.32,,,,0.28,,,,0.26,,,,0.24,,,,0.21,
