0,1,2
IMPORTANT  NOTICE ABOUT INFORMATION PRESENTED IN THIS PROSPECTUS,IMPORTANT  NOTICE ABOUT INFORMATION PRESENTED IN THIS PROSPECTUS,1.0
,,
REPORTS  TO NOTEHOLDERS,REPORTS  TO NOTEHOLDERS,1.0
,,
WHERE  YOU CAN FIND MORE INFORMATION ABOUT YOUR NOTES,WHERE  YOU CAN FIND MORE INFORMATION ABOUT YOUR NOTES,1.0
,The Issuing Entity,1.0
,The Depositor,1.0
,Static Pool Data,2.0
,,
SUMMARY  OF PARTIES TO THE TRANSACTION1,SUMMARY  OF PARTIES TO THE TRANSACTION1,4.0
,,
SUMMARY  OF MONTHLY DEPOSITS TO AND WITHDRAWALS FROM ACCOUNTS*,SUMMARY  OF MONTHLY DEPOSITS TO AND WITHDRAWALS FROM ACCOUNTS*,5.0
,,
SUMMARY  OF MONTHLY DISTRIBUTIONS OF AVAILABLE AMOUNTS,SUMMARY  OF MONTHLY DISTRIBUTIONS OF AVAILABLE AMOUNTS,6.0
,,
SUMMARY  OF TERMS,SUMMARY  OF TERMS,7.0
,,
DESCRIPTION  OF THE RECEIVABLES; ISSUING ENTITY PROPERTY,DESCRIPTION  OF THE RECEIVABLES; ISSUING ENTITY PROPERTY,9.0
,,
DESCRIPTION  OF THE SECURITIES,DESCRIPTION  OF THE SECURITIES,14.0
,,
SUMMARY  OF RISK FACTORS,SUMMARY  OF RISK FACTORS,27.0
,,
RISK  FACTORS,RISK  FACTORS,29.0
,,
DEFINED  TERMS,DEFINED  TERMS,50.0
,,
THE  ISSUING ENTITY,THE  ISSUING ENTITY,50.0
,General,50.0
,Capitalization of the Issuing  Entity,52.0
,,
THE  DEPOSITOR,THE  DEPOSITOR,53.0
,,
"THE  SPONSOR, ORIGINATOR, SERVICER AND ADMINISTRATOR","THE  SPONSOR, ORIGINATOR, SERVICER AND ADMINISTRATOR",54.0
,General,54.0
,Securitization Experience,54.0
,Origination,55.0
,Servicing Experience,56.0
,,
CREDIT  RISK RETENTION,CREDIT  RISK RETENTION,57.0
,,
REPURCHASE  REQUESTS,REPURCHASE  REQUESTS,57.0
,,
AFFILIATIONS  AND RELATED TRANSACTIONS,AFFILIATIONS  AND RELATED TRANSACTIONS,58.0
,,
THE  OWNER TRUSTEE,THE  OWNER TRUSTEE,58.0
,,
THE  DELAWARE TRUSTEE,THE  DELAWARE TRUSTEE,58.0
,,
THE  INDENTURE TRUSTEE,THE  INDENTURE TRUSTEE,59.0
,,
LIMITATION  OF LIABILITY AND RESIGNATION OF THE TRUSTEES,LIMITATION  OF LIABILITY AND RESIGNATION OF THE TRUSTEES,59.0
