0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"March 21, 2025",,79.43%,,74.74%,,71.55%,,69.20%,,66.49%,,60.75%
"April 21, 2025",,69.23%,,62.36%,,57.70%,,54.27%,,50.35%,,43.20%
"May 21, 2025",,59.09%,,50.15%,,44.10%,,39.65%,,34.62%,,26.09%
"June 21, 2025",,49.00%,,38.10%,,30.75%,,25.36%,,19.31%,,9.44%
"July 21, 2025",,38.98%,,26.23%,,17.65%,,11.38%,,4.41%,,0.00%
"August 21, 2025",,29.02%,,14.53%,,4.80%,,0.00%,,0.00%,,0.00%
"September 21, 2025",,19.12%,,3.00%,,0.00%,,0.00%,,0.00%,,0.00%
"October 21, 2025",,9.28%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"November 21, 2025",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,0.41,,0.34,,0.30,,0.28,,0.26,,0.23
Weighted Average Life To Call (years)(1)(3),,0.41,,0.34,,0.30,,0.28,,0.26,,0.23
